date,fremont_bridge_nb,fremont_bridge_sb
2017-06-12T09:00:00.000,272,141
2017-06-27T16:00:00.000,433,134
2017-06-07T07:00:00.000,540,328
2017-06-10T00:00:00.000,18,9
2017-06-04T08:00:00.000,105,60
2017-06-27T14:00:00.000,110,48
2017-06-18T05:00:00.000,11,5
2017-06-11T16:00:00.000,181,87
2017-06-16T03:00:00.000,2,0
2017-06-18T04:00:00.000,5,5
2017-06-28T01:00:00.000,5,2
2017-06-29T02:00:00.000,1,0
2017-06-20T21:00:00.000,51,23
2017-06-20T10:00:00.000,100,47
2017-06-16T04:00:00.000,3,2
2017-06-24T13:00:00.000,173,88
2017-06-26T14:00:00.000,101,48
2017-06-20T18:00:00.000,433,114
2015-11-15T02:00:00.000,0,0
2017-06-04T07:00:00.000,51,29
2017-06-03T05:00:00.000,12,8
2017-06-27T03:00:00.000,3,1
2017-06-26T19:00:00.000,292,105
2017-06-23T00:00:00.000,15,10
2017-06-23T13:00:00.000,131,57
2017-06-29T16:00:00.000,373,117
2017-06-03T03:00:00.000,0,0
2015-11-29T04:00:00.000,0,0
2017-06-02T06:00:00.000,161,98
2017-06-26T06:00:00.000,160,94
2017-01-09T01:00:00.000,0,0
2017-06-06T04:00:00.000,14,10
2017-06-02T23:00:00.000,28,11
2017-06-24T08:00:00.000,151,93
2017-06-01T13:00:00.000,102,46
2017-06-30T15:00:00.000,253,79
2017-01-01T05:00:00.000,0,0
2017-06-25T06:00:00.000,12,5
2017-06-02T07:00:00.000,352,217
2017-06-09T11:00:00.000,78,37
2017-06-17T04:00:00.000,1,0
2017-06-30T06:00:00.000,162,105
2017-06-07T01:00:00.000,10,4
2017-06-03T02:00:00.000,7,5
2017-06-16T20:00:00.000,116,46
2017-06-07T18:00:00.000,510,177
2017-06-06T06:00:00.000,218,133
2017-06-27T23:00:00.000,26,10
2017-06-25T09:00:00.000,146,74
2017-06-25T23:00:00.000,20,9
2017-06-06T21:00:00.000,84,46
2017-01-26T01:00:00.000,0,0
2017-06-11T05:00:00.000,5,2
2017-06-07T08:00:00.000,704,411
2017-06-14T23:00:00.000,29,18
2017-06-11T10:00:00.000,124,60
2017-06-06T01:00:00.000,2,0
2017-06-03T23:00:00.000,21,11
2017-06-23T21:00:00.000,74,29
2017-06-21T05:00:00.000,50,33
2017-06-08T11:00:00.000,43,23
2017-06-06T13:00:00.000,128,73
2017-06-16T21:00:00.000,70,30
2017-06-20T07:00:00.000,403,238
2017-06-05T14:00:00.000,109,56
2017-06-08T18:00:00.000,279,74
2017-06-23T10:00:00.000,140,81
2017-06-07T09:00:00.000,350,190
2017-06-15T10:00:00.000,53,28
2017-06-13T00:00:00.000,6,1
2017-06-22T14:00:00.000,130,47
2017-06-18T07:00:00.000,34,23
2017-01-15T04:00:00.000,0,0
2017-06-09T18:00:00.000,293,76
2017-01-13T03:00:00.000,0,0
2017-06-10T10:00:00.000,143,78
2017-06-18T13:00:00.000,142,69
2017-06-12T04:00:00.000,10,7
2017-01-09T02:00:00.000,0,0
2017-06-28T12:00:00.000,94,49
2017-06-09T03:00:00.000,4,0
2017-06-27T06:00:00.000,175,106
2017-01-11T03:00:00.000,0,0
2017-06-26T05:00:00.000,48,33
2017-06-20T22:00:00.000,36,20
2017-06-12T23:00:00.000,20,11
2017-06-02T22:00:00.000,45,22
2017-06-05T07:00:00.000,460,282
2017-01-11T01:00:00.000,0,0
2017-06-10T11:00:00.000,160,75
2017-06-17T14:00:00.000,91,52
2017-06-22T12:00:00.000,113,53
2017-06-25T19:00:00.000,113,43
2017-06-28T18:00:00.000,527,173
2017-06-02T00:00:00.000,13,5
2017-06-07T22:00:00.000,70,37
2017-06-25T17:00:00.000,122,70
2017-06-29T03:00:00.000,2,1
2017-06-13T09:00:00.000,229,122
2017-06-26T22:00:00.000,47,26
2017-06-02T04:00:00.000,4,0
2017-06-25T20:00:00.000,69,22
2017-06-09T14:00:00.000,79,30
2017-06-27T09:00:00.000,338,171
2017-06-03T09:00:00.000,94,59
2017-06-23T19:00:00.000,182,57
2017-06-01T17:00:00.000,630,164
2017-06-01T10:00:00.000,103,55
2017-06-17T09:00:00.000,159,77
2017-06-29T11:00:00.000,104,43
2017-06-21T23:00:00.000,32,17
2017-06-01T07:00:00.000,375,222
2017-01-19T00:00:00.000,0,0
2017-06-25T14:00:00.000,141,72
2017-06-06T20:00:00.000,160,67
2017-06-30T19:00:00.000,225,82
2017-06-06T18:00:00.000,506,151
